benchmark_state_id,state_ordinal,configuration,worlds,opponent_stratum,observer_color,progress_bucket,unresolved_pieces,hidden_pieces,public_state_identity,document_ms,forward_ms,sampling_ms,total_ms
phase11_benchmark_state_v1|ms=2026081901|n=025,25,forward_only,0,phase9_selfplay,red,late,28,28,36ee8eca3b9cb82807d9e3c1b4f60991ba8d2f1926a647290845d14fc3668bcc,0.298,1.689,0.107666,2.094666
phase11_benchmark_state_v1|ms=2026081901|n=025,25,forward_plus_16_worlds,16,phase9_selfplay,red,late,28,28,36ee8eca3b9cb82807d9e3c1b4f60991ba8d2f1926a647290845d14fc3668bcc,0.255417,1.28175,9.397583,10.93475
phase11_benchmark_state_v1|ms=2026081901|n=025,25,forward_plus_32_worlds,32,phase9_selfplay,red,late,28,28,36ee8eca3b9cb82807d9e3c1b4f60991ba8d2f1926a647290845d14fc3668bcc,0.266042,1.715291,18.985917,20.96725
phase11_benchmark_state_v1|ms=2026081901|n=025,25,forward_plus_64_worlds,64,phase9_selfplay,red,late,28,28,36ee8eca3b9cb82807d9e3c1b4f60991ba8d2f1926a647290845d14fc3668bcc,0.298541,1.526792,37.89325,39.718583
phase11_benchmark_state_v1|ms=2026081901|n=026,26,forward_only,0,phase9_selfplay,red,late,30,30,71ce7edbe0297d43ea48ccc3ffb7d38a891e26da490ebc0104deec5375aae3a1,0.292208,1.561875,0.107292,1.961375
phase11_benchmark_state_v1|ms=2026081901|n=026,26,forward_plus_16_worlds,16,phase9_selfplay,red,late,30,30,71ce7edbe0297d43ea48ccc3ffb7d38a891e26da490ebc0104deec5375aae3a1,0.255917,1.275333,9.900667,11.431917
phase11_benchmark_state_v1|ms=2026081901|n=026,26,forward_plus_32_worlds,32,phase9_selfplay,red,late,30,30,71ce7edbe0297d43ea48ccc3ffb7d38a891e26da490ebc0104deec5375aae3a1,0.248042,1.418625,19.886125,21.552792
phase11_benchmark_state_v1|ms=2026081901|n=026,26,forward_plus_64_worlds,64,phase9_selfplay,red,late,30,30,71ce7edbe0297d43ea48ccc3ffb7d38a891e26da490ebc0104deec5375aae3a1,0.269375,1.403375,39.263958,40.936708
phase11_benchmark_state_v1|ms=2026081901|n=027,27,forward_only,0,phase9_selfplay,red,late,33,33,35fca8753ef4ec686d203e9a9588f0d289851895dfd10efac5bb3ada3f4349c2,0.282959,1.528791,0.112709,1.924459
phase11_benchmark_state_v1|ms=2026081901|n=027,27,forward_plus_16_worlds,16,phase9_selfplay,red,late,33,33,35fca8753ef4ec686d203e9a9588f0d289851895dfd10efac5bb3ada3f4349c2,0.254708,1.460583,10.433292,12.148583
