[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 09:00:08] [control] period 202/256: games 1880 (in flight 2552), c1 step 12928, setup frozen, 155.433 s
[coadapt 09:02:45] [control] period 203/256: games 1870 (in flight 2549), c1 step 12992, setup frozen, 157.479 s
[coadapt 09:05:19] [control] period 204/256: games 1874 (in flight 2553), c1 step 13056, setup frozen, 153.317 s
[coadapt 09:07:54] [control] period 205/256: games 1885 (in flight 2549), c1 step 13120, setup frozen, 154.648 s
[coadapt 09:10:35] [control] period 206/256: games 1866 (in flight 2554), c1 step 13184, setup frozen, 160.735 s
[coadapt 09:13:10] [control] period 207/256: games 1858 (in flight 2549), c1 step 13248, setup frozen, 154.902 s
[coadapt 09:15:44] [control] period 208/256: games 1895 (in flight 2553), c1 step 13312, setup frozen, 154.505 s
[coadapt 09:18:21] [control] period 209/256: games 1873 (in flight 2551), c1 step 13376, setup frozen, 156.658 s
[coadapt 09:20:57] [control] period 210/256: games 1873 (in flight 2553), c1 step 13440, setup frozen, 156.07 s
[coadapt 09:23:33] [control] period 211/256: games 1888 (in flight 2555), c1 step 13504, setup frozen, 154.926 s
[coadapt 09:26:17] [control] period 212/256: games 1912 (in flight 2554), c1 step 13568, setup frozen, 164.606 s
[coadapt 09:28:50] [control] period 213/256: games 1807 (in flight 2552), c1 step 13632, setup frozen, 152.485 s
[coadapt 09:31:28] [control] period 214/256: games 1897 (in flight 2554), c1 step 13696, setup frozen, 158.038 s
[coadapt 09:34:08] [control] period 215/256: games 1944 (in flight 2545), c1 step 13760, setup frozen, 159.329 s
[coadapt 09:36:43] [control] period 216/256: games 1851 (in flight 2552), c1 step 13824, setup frozen, 154.838 s
[coadapt 09:39:34] [control] period 217/256: games 1884 (in flight 2547), c1 step 13888, setup frozen, 170.777 s
[coadapt 09:42:02] [control] period 218/256: games 1936 (in flight 2550), c1 step 13952, setup frozen, 147.388 s
[coadapt 09:45:06] [control] period 219/256: games 1853 (in flight 2552), c1 step 14016, setup frozen, 184.7 s
[coadapt 09:47:36] [control] period 220/256: games 1923 (in flight 2554), c1 step 14080, setup frozen, 148.574 s
[coadapt 09:50:29] [control] period 221/256: games 1810 (in flight 2551), c1 step 14144, setup frozen, 173.202 s
[coadapt 09:53:08] [control] period 222/256: games 1965 (in flight 2548), c1 step 14208, setup frozen, 158.99 s
[coadapt 09:55:44] [control] period 223/256: games 1898 (in flight 2545), c1 step 14272, setup frozen, 155.456 s
[coadapt 09:58:57] [control] period 224/256: games 1861 (in flight 2553), c1 step 14336, setup frozen, 175.342 s, bundle 85aa1b66d0e8
[coadapt 10:01:11] [control] period 225/256: games 1842 (in flight 2548), c1 step 14400, setup frozen, 134.488 s
[coadapt 10:04:26] [control] period 226/256: games 1892 (in flight 2552), c1 step 14464, setup frozen, 194.722 s
[coadapt 10:06:51] [control] period 227/256: games 1881 (in flight 2549), c1 step 14528, setup frozen, 144.641 s
